cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
H. PYLORI (SEND OUT),H. Pylori,Uncategorized,02 PCC+
LEPTOSPIRA IGG & IGM ( SEND OUT ),Leptospira Igg & Igm,Laboratory,01 Clinic+
XRAY-CERVICO THORACOLUMBAR,X-Ray - Cervico Thoracolumbar,Imaging,02 PCC+
XRAY-FEMUR APL BILATERAL,X-Ray - Femur Apl Bilateral,Imaging,02 PCC+
CYCLOPEGIC REFRACTION,Cyclopegic Refraction,Ophthalmology,02 PCC+
FLUORESCEIN ANGIOGRAM,Fluorescein Angiogram,Uncategorized,02 PCC+
CT SCAN- BRAIN PLAIN,CT Scan - Brain Plain,Imaging,03 Hospital Only
CYSTOSCOPY,Cystoscopy,Uncategorized,02 PCC+
FREE T4 (FT4)~ISRE,Free T4 (FT4),Laboratory,01 Clinic+
AUDITORY STEADY STATE RESPONSE ( ASSR ),Auditory Steady E Response ( Assr,Uncategorized,02 PCC+
FACTOR SPECIFIC ASSAY VIII CS,Factor Specific Assay Viii Cs,Uncategorized,02 PCC+
SERUM TOTAL BETA HCG,Serum Total Beta Hcg,Laboratory,01 Clinic+
SILVER STAIN,Silver Stain,Uncategorized,02 PCC+
ULTRASOUND GYNECOLOGICAL SCREENING 3D,Ultrasound - Gynecological Screening 3D,Imaging,02 PCC+
XRAY CHEST AP/PA/LATERAL,X-Ray - Chest Ap/Pa/Lateral,Imaging,02 PCC+
ULTRASOUND - NECK WITH DOPPLER,Ultrasound - Neck,Imaging,02 PCC+
ULTRASOUND-MASS LOCALIZATION,Ultrasound - Mass Localization,Imaging,02 PCC+
RHEUMATOID FACTOR (RF) WITH TITER,Rheumatoid Factor (Rf) Titer,Uncategorized,02 PCC+
ULTRASOUND-ECHOCARDIOGRAM (BUBBLE SALINE CONTRAST ECHOCARDIOGRAM),Ultrasound - Echocardiogram (Bubble Saline Contrast Echocardiogram),Imaging,02 PCC+
XRAY-CHEST BUCKY,X-Ray - Chest Bucky,Imaging,02 PCC+
MEDIUM (3.1 TO 7.0 CM),Medium (3.1 To 7.0 Cm,Uncategorized,02 PCC+
PERIPHERAL SMEAR,Peripheral Smear,Uncategorized,02 PCC+
VERTIGO TEST (VHIT),Vertigo Test (Vhit,Laboratory,01 Clinic+
CELL CYTOLOGY,Cell Cytology,Uncategorized,02 PCC+
TOTAL IRON BINDING CAPACITY (TIBC) SEND OUT,Total Iron Binding Capacity (Tibc,Uncategorized,02 PCC+
XRAY-CHEST PA (11X14),X-Ray - Chest Pa (11X14),Imaging,02 PCC+
COOMBS TEST (INDIRECT),Coombs Test (Indirect,Laboratory,01 Clinic+
CT SCAN-CERVICAL NECK - PLAIN,CT Scan - Cervical Neck - Plain,Imaging,03 Hospital Only
CT-SCAN (THORACIC SPINE W/O CONTRAST),Ct-Scan (Thoracic Spine Contrast,Laboratory,01 Clinic+
XRAY-SKULL SERIES,X-Ray - Skull Series,Imaging,02 PCC+
TOTAL PROTEIN ALBUMIN GLOBULIN (TPAG) BODY FLUIDS S.O,Total Protein Albumin Globulin (Tpag) Body Fluids S.O,Laboratory,01 Clinic+
ULTRAS0UND B-SCAN BOTH,Ultras0Und B-Scan Both,Uncategorized,02 PCC+
TISSUE BIOPSY (LARGE),Tissue Biopsy (Large,Uncategorized,03 Hospital Only
COOMBS TEST (DIRECT),Coombs Test (Direct,Laboratory,01 Clinic+
FNAB DONE BY PATHOLOGIST,Fnab Done By Pathologist,Uncategorized,02 PCC+
SOMATOSENSORY EVOKED POTENTIAL (SSEP),Somatosensory Evoked Potential (Ssep,Uncategorized,02 PCC+
XRAY-FINGERS BILATERAL,X-Ray - Fingers Bilateral,Imaging,02 PCC+
NAPSIN A,Napsin A,Uncategorized,02 PCC+
SONOMAMMOGRAPHY-BILATERAL~MAMO,Sonomammography-Bilateral,Uncategorized,02 PCC+
ULTRASOUND - MUSCULOSKELETAL (MSK) FOOT,Ultrasound - Musculoskeletal (Msk) Foot,Imaging,02 PCC+
XRAY-HIP APL 11X14,X-Ray - Hip Apl 11X14,Imaging,02 PCC+
ULTRASOUND-LUNGS,Ultrasound - Lungs,Imaging,02 PCC+
ANTI-MULLERIAN HORMONE (AMH),Anti-Mullerian Hormone (Amh,Uncategorized,02 PCC+
CA 19-9 ECLIA,Ca 19-9 Eclia,Uncategorized,02 PCC+
"(EBV-VCA IGM) EPSTEIN BARR VIRUS, VIRAL CAPSID IGM","Ebv-Vca Igm) Epstein Barr Virus, Viral Capsid Igm",Laboratory,01 Clinic+
ULTRASOUND - SCROTAL,Ultrasound - Scrotal,Imaging,02 PCC+
C REACTIVE PROTEIN (CRP) (WITH DILUTION),C Reactive Protein (Crp) ( Dilution,Laboratory,01 Clinic+
"XRAY-VERTEBRAE, LUMBAR (AP/PA, L)~XRPN","X-Ray - Vertebrae, Lumbar (Ap/Pa, L)~Xrpn",Imaging,02 PCC+
INSULIN GROWTH FACTOR 1 (IGF - 1 ) - IRMA,Insulin Growth Factor 1 (Igf - 1 ) - Irma,Uncategorized,02 PCC+
ULTRASOUND- KUB WITH PROSTATE,Ultrasound - Kub,Imaging,02 PCC+
VANCOMYCIN (PEAK LEVEL),Vancomycin (Peak Level,Uncategorized,02 PCC+
ACCENTURE-XRAY SHOULDER Y SCAPULA,X-Ray - Shoulder Y Scapula,Imaging,02 PCC+
DIGI RIGHT SHOULDER AP,Digi Right Shoulder Ap,Uncategorized,02 PCC+
SPIROMETRY WITH PRE AND POST LUNG VOLUME,Spirometry Pre And Post Lung Volume,Uncategorized,02 PCC+
ULTRASOUND-LIVER - GALL BLADDER,Ultrasound - Liver - Gall Bladder,Imaging,02 PCC+
GLYPICAN (SEND OUT),Glypican,Uncategorized,02 PCC+
XRAY-TOTAL WHOLE BODY (ROUTINE),X-Ray - Total Whole Body (Routine),Imaging,02 PCC+
CT SCAN - SINUS PLAIN,CT Scan - Sinus Plain,Imaging,03 Hospital Only
CULTURE AND SENSITIVITY - OTHER SPECIMEN,Culture And Sensitivity - Other Specimen,Laboratory,01 Clinic+
TOTAL IGE (ALLERGY SCREENING),Total Ige (Allergy Screening,Uncategorized,02 PCC+
ASPERGILLUS GALACTOMANNAN ANTIGEN TEST,Aspergillus Galactomannan Antigen Test,Laboratory,01 Clinic+
AWAKE AND ASLEEP EEG RECORDING W/ BENADRYL SYRUP,Awake And Asleep Eeg Recording Benadryl Syrup,Uncategorized,02 PCC+
MTB/RIF GENE EXPERT SPUTUM (SEND OUT),Mtb/Rif Gene Expert Sputum,Laboratory,01 Clinic+
2D ECHO WITH CFDS (FULL STUDY),2D Echo,Cardiology,02 PCC+
CT SCAN-BRAIN WITH BONE SETTINGS,CT Scan - Brain,Imaging,03 Hospital Only
ECLIPSE ABR,Eclipse Abr,Uncategorized,02 PCC+
FNAB SMEAR (MAXIMUM 4 SLIDES),Fnab Smear (Maximum 4 Slides,Uncategorized,02 PCC+
FUNDUS AUTOFLOURESCENCE,Fundus Autoflourescence,Uncategorized,02 PCC+
"ULTRASOUND-GALL BLADDER, PANCREAS, KIDNEYS AND URINARY BLADDER WITH PELVIS","Ultrasound - Gall Bladder, Pancreas, Kidneys And Urinary Bladder",Imaging,02 PCC+
"ULTRASOUND-GALL BLADDER, PANCREAS, SPLEEN AND URINARY BLADDER WITH PELVIS","Ultrasound - Gall Bladder, Pancreas, Spleen And Urinary Bladder",Imaging,02 PCC+
ULTRASOUND-TESTES,Ultrasound - Testes,Imaging,02 PCC+
VITAMIN D3 (SEND OUT),Vitamin D3,Uncategorized,02 PCC+
VITRECTOMY,Vitrectomy,Uncategorized,02 PCC+
HEPATITIS B PROFILE,Hepatitis Profile,Laboratory,01 Clinic+
LUPUS ANTICOAGULANT TEST 1 (KCT+DRVVT),Lupus Anticoagulant Test 1 (Kct+Drvvt,Laboratory,01 Clinic+
T3(ECLIA),T3(Eclia,Uncategorized,02 PCC+
XRAY-CHEST LORDOTIC VIEW,X-Ray - Chest Lordotic View,Imaging,02 PCC+
ANTI-SMITH AB,Anti-Smith Ab,Uncategorized,02 PCC+
CT SCAN-BRAIN WITH BONE WINDOW,CT Scan - Brain,Imaging,03 Hospital Only
ULTRASOUND - THIGH - MUSCULOSKELETAL (MSK),Ultrasound - Thigh - Musculoskeletal (Msk),Imaging,02 PCC+
ULTRASOUND-ARM,Ultrasound - Arm,Imaging,02 PCC+
ULTRASOUND-MUSCULOSKELETAL - LEG (ONE SIDE),Ultrasound - Musculoskeletal - Leg (One Side),Imaging,02 PCC+
ULTRASOUND-MUSCULOSKELETAL FOOT AND ANKLE,Ultrasound - Musculoskeletal Foot And Ankle,Imaging,02 PCC+
ULTRASOUND-MUSCULOSKELETAL HIP,Ultrasound - Musculoskeletal Hip,Imaging,02 PCC+
ULTRASOUND-MUSCULOSKELETAL THUMB UNILATERAL,Ultrasound - Musculoskeletal Thumb Unilateral,Imaging,02 PCC+
ULTRASOUND-WHOLE ABDOMEN WITH PROSTATE PRE AND POST VOID,Ultrasound - Whole Abdomen,Imaging,02 PCC+
2D ECHOCARDIOGRAPHY W/CFDS W/BUBBLE CONTRAST,2D Echo,Cardiology,02 PCC+
CT SCAN - BMD(LUMBAR SPINE& HIP (CENTRAL),CT Scan - Bmd(Lumbar Spine& Hip (Central),Imaging,03 Hospital Only
URINE MICRO ALBUMIN RATIO,Urine Micro Albumin Ratio,Laboratory,01 Clinic+
"PHI IHC, CK 5/6","Phi Ihc, Ck 5/6",Uncategorized,02 PCC+
CENTRAL DXA W/ FOREARM & VFA PF,Central Dxa Forearm & Vfa Pf,Uncategorized,02 PCC+
DIABETIC PANEL,Diabetic Panel,Laboratory,01 Clinic+
ULTRASOUND-3D GYNE,Ultrasound - 3D Gyne,Imaging,02 PCC+
CT SCAN-TRIPHASE WHOLE ABDOMEN W/ PF,CT Scan - Triphase Whole Abdomen,Imaging,03 Hospital Only
HISTOPATH-EXCISION BIOPSY (MEDIUM),Histopath-Excision Biopsy (Medium,Uncategorized,03 Hospital Only
ULTRASOUND-CAROTID AND VERTEBRAL ARTERY,Ultrasound - Carotid And Vertebral Artery,Imaging,02 PCC+
XRAY-SHOULDER OR KNEE SERIES (BILATERAL),X-Ray - Shoulder Or Knee Series (Bilateral),Imaging,02 PCC+
XRAY-CHEST APL (ADULT) (PORTABLE),X-Ray - Chest Apl (Adult) (Portable),Imaging,02 PCC+
"CT SCAN-ABDOMEN, WHOLE SINGLE TRIPHASIC~CTCT-FILM [14X17 (8)]","CT Scan - Abdomen, Whole Single Triphasic~Ctct-Film [14X17 (8)]",Imaging,03 Hospital Only
"CT SCAN-ABDOMEN, WHOLE TRIPLE TRIPHASIC~CTCT-FILM [14X17 (8)]","CT Scan - Abdomen, Whole Triple Triphasic~Ctct-Film [14X17 (8)]",Imaging,03 Hospital Only
LAB-HC-SLIDE REVIEW,Lab-Hc-Slide Review,Uncategorized,02 PCC+
FERRITIN (SGD),Ferritin,Uncategorized,02 PCC+
PAPS SMEAR W/INTERPRETATION,Syphilis Test (VDRL/RPR),Uncategorized,02 PCC+
NUC-ISO RENAL [DTPA] SCAN,Nuc-Iso Renal Scan,Uncategorized,02 PCC+
B-SCAN LEFT EYE,B-Scan Left Eye,Ophthalmology,02 PCC+
TOTAL PROSTATIC SPECIFIC ANTIGEN (BLOOD)-STAT,Total Proic Specific Antigen (Blood,Laboratory,01 Clinic+
XRAY-THIGH (UNILATERAL),X-Ray - Thigh (Unilateral),Imaging,02 PCC+
POST THERAPY SCAN,Post Therapy Scan,Uncategorized,02 PCC+
ANA TITER - SEND OUT (HP),Ana Titer - (Hp,Uncategorized,02 PCC+
CYSTATIN C - SEND OUT,Cyin C,Uncategorized,02 PCC+
DRVVT - DILUTE RUSSELLS VIPER VENOM TIME,Drvvt - Dilute Russells Viper Venom Time,Uncategorized,02 PCC+
PFT (POST),Pft (Post,Uncategorized,02 PCC+
XRAY-ABDOMEN UPRIGHT AND SUPINE,X-Ray - Abdomen Upright And Supine,Imaging,02 PCC+
BMD (DEXA) - SPINE & HIP,Bmd (Dexa) - Spine & Hip,Uncategorized,02 PCC+
DSDNA (ELIA),Dsdna (Elia,Uncategorized,02 PCC+
HISTOPATH FINE NEEDLE ASPIRATION BIOPSY (FNAB),Histopath Fine Needle Aspiration Biopsy (Fnab,Uncategorized,03 Hospital Only
"ULTRASOUND-TRANSRECTAL,UTERUS,PROSTATE","Ultrasound - Transrectal,Uterus,Prostate",Imaging,02 PCC+
XRAY-ANKLE APL (MORTISE) (PORTABLE),X-Ray - Ankle Apl (Mortise) (Portable),Imaging,02 PCC+
BREAST RECONSTRUCTION,Breast Reconstruction,Laboratory,01 Clinic+
ULTRASOUND - LIVER~UZGN,Ultrasound - Liver~Uzgn,Imaging,02 PCC+
SPUTUM GENEXPERT TEST,Sputum Genexpert Test,Laboratory,01 Clinic+
"HEPAR 1, (SEND OUT)","Hepar 1,",Uncategorized,02 PCC+
APOLIPOPROTEIN B (SEND OUT),Apolipoprotein B,Laboratory,01 Clinic+
ROUTINE HISTOPATH,Histopath,Uncategorized,02 PCC+
ULTRASOUND-ARTERIAL DOPPLER (ONE SIDE),Ultrasound - Arterial Doppler (One Side),Imaging,02 PCC+
ARTERIAL DUPLEX SCAN LOWER EXTREMITIES-ER,Arterial Duplex Scan Lower Extremities-Er,Uncategorized,02 PCC+
SSEP ( SOMATO SENSORY EVOKED POTENTIAL ),Ssep ( Somato Sensory Evoked Potential,Uncategorized,02 PCC+
MUSCULO-SKELETAL ULTRASOUND-WRIST (UNILATERAL),Ultrasound - Wrist (Unilateral),Imaging,02 PCC+
XRAY-SCAPULAR APY,X-Ray - Scapular Apy,Imaging,02 PCC+
GENE EXPERT SPUTUM -(L),Gene Expert Sputum -(L,Uncategorized,02 PCC+
AUDIOMETRY,Audiometry,Uncategorized,02 PCC+
DIGITAL XRAY CHEST PA & LORDOTIC,X-Ray - Chest Pa & Lordotic,Imaging,02 PCC+
VDRL,Syphilis Test (VDRL/RPR),Laboratory,01 Clinic+
"FOLLICLE STIMULATING HORMONE (FSH), (SEND OUT)","Follicle Stimulating Hormone (Fsh),",Uncategorized,02 PCC+
SERUM FT3,Free T3 (FT3),Laboratory,01 Clinic+
OCT (MACULA)~EYRE,Oct (Macula,Uncategorized,02 PCC+
DHEA-S CHEMI,Dhea-S Chemi,Uncategorized,02 PCC+
XRAY-KNEE APL 11X14 BILATERAL,X-Ray - Knee Apl 11X14 Bilateral,Imaging,02 PCC+
(VER) VISUAL EVOKE RESPONSE,Ver) Visual Evoke Response,Uncategorized,02 PCC+
ANTI - HCV - STAT,Anti - Hcv,Uncategorized,02 PCC+
ULTRASOUND- KIDNEYS - URINARY BLADDER (KUB)~UZGN,Ultrasound - Kidneys - Urinary Bladder (Kub)~Uzgn,Imaging,02 PCC+
ULTRASOUND-3D OBGYNE,Ultrasound - 3D Obgyne,Imaging,02 PCC+
PFT (PRE),Pft (Pre,Uncategorized,02 PCC+
NOSE SOFT TISSUE LATERAL AND WATERS VIEW XRAY,X-Ray,Imaging,02 PCC+
XRAY-SHOULDER LAT 11X14,X-Ray - Shoulder Lat 11X14,Imaging,02 PCC+
ACCENTURE-XRAY-FOOT AP-O,X-Ray - Foot Ap-O,Imaging,02 PCC+
ANKLE BRACHIAL INDEX WITH DIGITAL PHOTOPLETHYSMOGRAPHY,Ankle Brachial Index Digital Photoplethysmography,Uncategorized,02 PCC+
"BASIC PANEL (CBC, CREATININE, SGPT, BUA, URINALYSIS)",SGPT/ALT,Laboratory,01 Clinic+
IMMUNOHISTOCHEMISTRY/IMMUNOHISTOCHEMICAL STUDIES (SEND OUT),Immunohistochemistry/Immunohistochemical Studies,Uncategorized,02 PCC+
SPECIAL STUDY (MASS) WITH DOPPLER ULTRASOUND,Ultrasound,Imaging,02 PCC+
SQUAMOUS CELL CARCINOMA (SCC),Squamous Cell Carcinoma (Scc,Uncategorized,02 PCC+
XRAY-ANKLE JOINT APL-O,X-Ray - Ankle Joint Apl-O,Imaging,02 PCC+
OGTT 75G/100G,Ogtt 75G/100G,Uncategorized,02 PCC+
CEA (ELISA),Cea (Elisa,Uncategorized,02 PCC+
OCT 3D MACULAR AND RADIAL SCAN,Oct 3D Macular And Radial Scan,Uncategorized,02 PCC+
AMA/ASMA PACKAGE (ANTI-MITOCHONDRIAL/ANTI-SMOOTH ANTIBODY),Ama/Asma Package (Anti-Mitochondrial/Anti-Smooth Antibody,Laboratory,01 Clinic+
EMG NCV,Emg Ncv,Uncategorized,02 PCC+
HISTOPATH - H. PYLORI,Histopath - H. Pylori,Uncategorized,02 PCC+
BLOOD CULTURE,Blood Culture,Laboratory,01 Clinic+
"DIGITAL MAMMOGRAPHY MAGNIFICATION, 2 SIDES","Digital Mammography Magnification, 2 Sides",Laboratory,01 Clinic+
ULTRASOUND-KUB WITH POST VOID RESIDUAL,Ultrasound - Kub,Imaging,02 PCC+
LEUTINIZING HORMONE CHEMI,Leutinizing Hormone Chemi,Uncategorized,02 PCC+
"COOMB''S TEST (DAT,IAT)","Coomb''S Test (Dat,Iat",Laboratory,01 Clinic+
HISTOPATH EXTRA LARGE (SO),Histopath Extra Large,Uncategorized,02 PCC+
XRAY - CHEST PA AND LATERAL/AP AND LATERAL,X-Ray - Chest Pa And Lateral/Ap And Lateral,Imaging,02 PCC+
CEA CARCINO EMBRYONIC ANTIGEN,Cea Carcino Embryonic Antigen,Laboratory,01 Clinic+
ULTRASOUND - TVS W/ DOPPLER OR SCROTAL W/ DOPPLER,Ultrasound - Tvs,Imaging,02 PCC+
PELVIC/BIOMETRY W/ CERVICAL LENGTH/FUNELLING,Pelvic/Biometry Cervical Length/Funelling,Uncategorized,02 PCC+
MAMMO AND TOMO SCREENING PACKAGE - 2 SIDES,Mammo And Tomo Screening Package - 2 Sides,Laboratory,01 Clinic+
BIOPSY FOR H-PYLORI,Biopsy For H-Pylori,Uncategorized,03 Hospital Only
SMALL (HISTOPATHOLOGY) (MNMCH),Small (Histopathology) (Mnmch,Uncategorized,02 PCC+
SGPT / ALT,SGPT/ALT,Laboratory,01 Clinic+
CA 125 (SEND OUT),Ca 125,Uncategorized,02 PCC+
EYE - INTRAVITREAL INJECTION W/ OCT,Eye - Intravitreal Injection Oct,Ophthalmology,02 PCC+
THIN PREP PAP TEST,Thin Prep Pap Test,Laboratory,01 Clinic+
XRAY - PNS (ADULT) WATER,X-Ray - Pns (Adult) Water,Imaging,02 PCC+
"ULTRASOUND-HBS, KUB AND PELVIS (WHOLE ABDOMEN FEMALE)","Ultrasound - Hbs, Kub And Pelvis (Whole Abdomen Female)",Imaging,02 PCC+
LAB-CC-SGPT/ALT (ARCHITECT),SGPT/ALT,Laboratory,01 Clinic+
XRAY-KNEE (UNILATERAL),X-Ray - Knee (Unilateral),Imaging,02 PCC+
ANTI-HCV / HCV-RNA (QUALITATIVE),Anti-Hcv / Hcv-Rna (Qualitative,Uncategorized,02 PCC+
CT SCAN - FACIAL BONE TO INCLUDE NASAL BONE,CT Scan - Facial Bone To Include Nasal Bone,Imaging,03 Hospital Only
CTSCAN-BRAIN,Ctscan-Brain,Uncategorized,02 PCC+
ULTRASOUND-WRIST UNILATERAL,Ultrasound - Wrist Unilateral,Imaging,02 PCC+
THYROID BIOPSY,Thyroid Biopsy,Laboratory,03 Hospital Only
XRAY-E.R.C.P. W/FLOURO GUIDED (S/P),X-Ray - E.R.C.P.,Imaging,02 PCC+
XRAY-HAND/FOOT APLO W/ CR FILM,X-Ray - Hand/Foot Aplo,Imaging,02 PCC+
BIOMETRY SPECULAR (BOTH EYES),Biometry Specular (Both Eyes,Ophthalmology,02 PCC+
XRAY - ANKLE APL & MORTISE VIEW (UNILATERAL),X-Ray - Ankle Apl & Mortise View (Unilateral),Imaging,02 PCC+
LACTIC ACID TEST.,Lactic Acid Test.,Laboratory,01 Clinic+
3D + TRANSVAGINAL (MACHINE1),3D + Transvaginal (Machine1,Laboratory,01 Clinic+
XRAY-LUMBAR SPINE OBLIQUE VIEW,X-Ray - Lumbar Spine Oblique View,Imaging,02 PCC+
SGOT/ALT,SGOT/AST,Laboratory,01 Clinic+
OGTT 100 GRAMS,Ogtt 100 Grams,Uncategorized,02 PCC+
MICROALBUMIN CREATININE RATIO (SEND OUT),Creatinine,Laboratory,01 Clinic+
ULTRASOUND-2D + 3D BREAST,Ultrasound - 2D + 3D Breast,Imaging,02 PCC+
FECAL IMMUNOCHEMICAL TEST (FIT W/ KIT) HI-PRE,Fecal Immunochemical Test (Fit Kit) Hi-Pre,Laboratory,01 Clinic+
CREATININE (ARCHITECT),Creatinine,Laboratory,01 Clinic+
OCT (BOTH EYES - RETINA) /SS,Oct (Both Eyes - Retina) /Ss,Ophthalmology,02 PCC+
24-HOUR / RANDOM URINE ALBUMIN CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
AUTOMATED VISUAL FIELD BOTH EYES (NET OF PHIC/FACILITY FEE W/PF),Automated Visual Field Both Eyes (Net Of Phic/Facility Fee Pf,Ophthalmology,02 PCC+
DIGITAL XRAY-SCAPULAR AP & Y,X-Ray - Scapular Ap & Y,Imaging,02 PCC+
ULTRASOUND- KUB W/ PRE & POST VOID,Ultrasound - Kub,Imaging,02 PCC+
EGFR,Egfr,Uncategorized,02 PCC+
FACTOR V,Factor V,Uncategorized,02 PCC+
TOXOPLASMOSIS IGG QUANTI,Toxoplasmosis Igg Quanti,Laboratory,01 Clinic+
CARBOHYDRATE ANTIGEN 15 - 3 (CA15 - 3),Carbohydrate Antigen 15 - 3 (Ca15 - 3,Laboratory,01 Clinic+
XRAY - EXTREMITIES KNEE AP/L,X-Ray - Extremities Knee Ap/L,Imaging,02 PCC+
FNAB - CT SCAN GUIDED,CT Scan - Guided,Imaging,03 Hospital Only
GATA 3,Gata 3,Uncategorized,02 PCC+
TISSUE P40,Tissue P40,Uncategorized,02 PCC+
"LDL,VLDL","Ldl,Vldl",Uncategorized,02 PCC+
XRAY-FOREARM APL (UNILATERAL) - PORTABLE,X-Ray - Forearm Apl (Unilateral) - Portable,Imaging,02 PCC+
ACCENTURE-ULTRASOUND-TRANSRECTAL,Ultrasound - Transrectal,Imaging,02 PCC+
COLOR DOPPLER LOWER EXTREMITY BILATERAL ARTERIES,Color Doppler Lower Extremity Bilateral Arteries,Uncategorized,02 PCC+
DIGI PARANASAL SINUSES,Digi Paranasal Sinuses,Uncategorized,02 PCC+
"EMG-NCV, MYASTHENIA PROTOCOL OR RNS","Emg-Ncv, Myasthenia Protocol Or Rns",Laboratory,01 Clinic+
FLEXIBLE FIBER OPTIC LARYNGOSCOPY PACKAGE,Flexible Fiber Optic Laryngoscopy Package,Laboratory,01 Clinic+
HEARING TEST,Hearing Test,Laboratory,01 Clinic+
SCHIMERS TEST (OS/OD),Schimers Test (Os/Od,Laboratory,01 Clinic+
THYROID PACKAGE RIA,Thyroid Package Ria,Laboratory,01 Clinic+
SERUM PROSTATE SPECIFIC ANTIGEN,Prostate Specific Antigen (PSA),Laboratory,01 Clinic+
FNAB/CYTO/CELL BLOCK(300H/650PF),Fnab/Cyto/Cell Block(300H/650Pf,Uncategorized,02 PCC+
CHEMO FEE 2 (SUCCEEDING 1 HOUR),Chemo Fee 2 (Succeeding 1 Hour,Uncategorized,02 PCC+
"CHEM PANEL 8 (BUN, CREATININE, GLUCOSE, NA, K, CHLORIDE, IONIZED CALCIUM)",Blood Urea Nitrogen (BUN),Laboratory,01 Clinic+
PLASMA CORTISOL,Plasma Cortisol,Uncategorized,02 PCC+
LAB-CC-URIC ACID (ARCHITECT),Uric Acid,Laboratory,01 Clinic+
"SERUM ELECTROLYTES (NA,K,CL)","Serum Electrolytes (Na,K,Cl",Laboratory,01 Clinic+
XRAY- CHEST (PA-LATERAL-APICOLORDOTIC VIEW),X-Ray - Chest (Pa-Lateral-Apicolordotic View),Imaging,02 PCC+
MUSCULO-SKELETAL ULTRASOUND BILATERAL,Ultrasound - Bilateral,Imaging,02 PCC+
FREE T3 (FT3)~ISRE,Free T3 (FT3),Uncategorized,02 PCC+
PROTEIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
RANDOM URINE POTASSIUM,Potassium (K),Laboratory,01 Clinic+
HISTOPATH COLON BIOPSY,Histopath Colon Biopsy,Uncategorized,03 Hospital Only
CT SCAN-CHEST~CTPN-FILM [14X17 (2)],CT Scan - Chest~Ctpn-Film [14X17 (2)],Imaging,03 Hospital Only
VENOUS DUPLEX SCAN (LOWER EXTREMITIES) - STAT,Venous Duplex Scan (Lower Extremities,Uncategorized,02 PCC+
BLOOD CULTURE WITH ANTIMICROBIAL REMOVAL DEVICE (ARD),Blood Culture Antimicrobial Removal Device (Ard,Laboratory,01 Clinic+
HSV 1/2 IGG (CLIA),Hsv 1/2 Igg (Clia,Laboratory,01 Clinic+
MACULAR OCT (BOTH EYES),Macular Oct (Both Eyes,Ophthalmology,02 PCC+
MRI-CERVICAL/THORACIC/LUMBAR~MRCT-FILM [14X17 (6)],MRI - Cervical/Thoracic/Lumbar~Mrct-Film [14X17 (6)],Imaging,03 Hospital Only
PARATHYROID HORMONE PTH IRMA,Parathyroid Hormone Pth Irma,Laboratory,01 Clinic+
TROPONIN I HIGH SENSITIVE POCT (POINT OF CARE TESTING),Troponin,Laboratory,01 Clinic+
VITAMIN D3 (METAMETRICS),Vitamin D3 (Metametrics,Uncategorized,02 PCC+
XRAY-KNEE BILATERAL APL,X-Ray - Knee Bilateral Apl,Imaging,02 PCC+
ANTI-LA /SSB (SO),Anti-La /Ssb,Uncategorized,02 PCC+
ANTI-SSA AUTOANTIBODIES/ANTI-SS/ANTI-RO (SEND OUT),Anti-Ssa Autoantibodies/Anti-Ss/Anti-Ro,Uncategorized,02 PCC+
ULTRASOUND-TRANSPERINEAL,Ultrasound - Transperineal,Imaging,02 PCC+
CHEST CT SCAN WITH IV AND ORAL CONTRAST,CT Scan,Imaging,03 Hospital Only
NCV REPETITIVE NERVE STIMULATION,Ncv Repetitive Nerve Stimulation,Uncategorized,02 PCC+
ULTRASOUND-VENOUS DUPLEX SCAN,Ultrasound - Venous Duplex Scan,Imaging,02 PCC+
MSK ULTRASOUND,Ultrasound,Imaging,02 PCC+
CHEM 10 REGULAR,Chem 10 Regular,Uncategorized,02 PCC+
BARIUM SWALLOW,Barium Swallow,Uncategorized,02 PCC+
STOMACH BIOPSY WITH H. PYLORI (HISTOPATH),Stomach Biopsy H. Pylori (Histopath,Uncategorized,03 Hospital Only
ULTRASOUND-DOPPLER (B LEGS) VENOUS/ARTERIAL,Ultrasound - Doppler (B Legs) Venous/Arterial,Imaging,02 PCC+
MAMMOGRAM-2D AND 3D W/ ULTRASOUND COMBO (BC),Ultrasound - Combo (Bc),Imaging,02 PCC+
VIDEO HEAD IMPULSE TEST - VHIT,Video Head Impulse Test - Vhit,Laboratory,01 Clinic+
EXECUTIVE PANEL A,Executive Panel A,Laboratory,01 Clinic+
TVS 2D SINGLE (PORTABLE),Tvs 2D Single (Portable,Uncategorized,02 PCC+
CREATININE URINE RANDOM,Creatinine,Laboratory,01 Clinic+
BETA - HUMAN CHRORIONIC GONADOTROPIN (B - HCG),Beta - Human Chrorionic Gonadotropin (B - Hcg,Uncategorized,02 PCC+
XRAY-KNEE APL (STANDING) BILATERAL,X-Ray - Knee Apl (Standing) Bilateral,Imaging,02 PCC+
XRAY-DIGITAL LEG UNILATERAL,X-Ray - Digital Leg Unilateral,Imaging,02 PCC+
CK 7 IHC,Ck 7 Ihc,Uncategorized,02 PCC+
ULTRASOUND-PELVIC/PROSTATE,Ultrasound - Pelvic/Prostate,Imaging,02 PCC+
CA 19-9 (HI-PRE),Ca 19-9 (Hi-Pre,Uncategorized,02 PCC+
XRAY - ANKLE AP (MORTISE),X-Ray - Ankle Ap (Mortise),Imaging,02 PCC+
